app_version,participant_id,index,sequence,video_a,video_b,choice,selected_video,time_used_seconds,timestamp
pilot,20260722_204900_1,2,OverallBall_take1_frame00492,OverallBall_take1_frame00492_same_file_size_4x_pointcloud_10s.mp4,OverallBall_take1_frame00492_same_file_size_4x_3dgs_10s.mp4,B,OverallBall_take1_frame00492_same_file_size_4x_3dgs_10s.mp4,24.65,2026-07-22T22:40:57.728077
pilot,20260722_204900_1,3,NelliSport2_frame00589,NelliSport2_frame00589_same_NoP_original_3dgs_10s.mp4,NelliSport2_frame00589_same_NoP_original_pointcloud_10s.mp4,B,NelliSport2_frame00589_same_NoP_original_pointcloud_10s.mp4,18.68,2026-07-22T22:41:18.245879
pilot,20260722_204900_1,4,BouncingBlue_frame00518,BouncingBlue_frame00518_same_NoP_original_pointcloud_10s.mp4,BouncingBlue_frame00518_same_NoP_original_3dgs_10s.mp4,A,BouncingBlue_frame00518_same_NoP_original_pointcloud_10s.mp4,64732.19,2026-07-23T16:40:11.866686
pilot,20260722_204900_1,5,BouncingBlue_frame00518,BouncingBlue_frame00518_same_NoP_256x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_NoP_256x_3dgs_10s.mp4,B,BouncingBlue_frame00518_same_NoP_256x_3dgs_10s.mp4,19.59,2026-07-23T16:40:33.790671
pilot,20260722_204900_1,6,BouncingBlue_frame00518,BouncingBlue_frame00518_same_NoP_4x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_NoP_4x_3dgs_10s.mp4,A,BouncingBlue_frame00518_same_NoP_4x_pointcloud_10s.mp4,32.75,2026-07-23T16:41:08.269440
pilot,20260722_204900_1,7,BouncingBlue_frame00518,BouncingBlue_frame00518_same_file_size_4x_3dgs_10s.mp4,BouncingBlue_frame00518_same_file_size_4x_pointcloud_10s.mp4,A,BouncingBlue_frame00518_same_file_size_4x_3dgs_10s.mp4,630.73,2026-07-23T16:51:40.331997
pilot,20260722_204900_1,8,OverallBall_take1_frame00492,OverallBall_take1_frame00492_same_NoP_256x_pointcloud_10s.mp4,OverallBall_take1_frame00492_same_NoP_256x_3dgs_10s.mp4,B,OverallBall_take1_frame00492_same_NoP_256x_3dgs_10s.mp4,53.9,2026-07-23T16:52:35.965126
pilot,20260722_204900_1,9,TicTacToe_take2_frame00586,TicTacToe_take2_frame00586_same_NoP_32x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_NoP_32x_3dgs_10s.mp4,B,TicTacToe_take2_frame00586_same_NoP_32x_3dgs_10s.mp4,1631.75,2026-07-23T17:19:49.064533
pilot,20260722_204900_1,10,Sign_take2_frame00503,Sign_take2_frame00503_same_NoP_original_3dgs_10s.mp4,Sign_take2_frame00503_same_NoP_original_pointcloud_10s.mp4,B,Sign_take2_frame00503_same_NoP_original_pointcloud_10s.mp4,1673.28,2026-07-23T17:47:43.876169
pilot,20260722_204900_1,11,Sign_take2_frame00503,Sign_take2_frame00503_same_NoP_4x_pointcloud_10s.mp4,Sign_take2_frame00503_same_NoP_4x_3dgs_10s.mp4,A,Sign_take2_frame00503_same_NoP_4x_pointcloud_10s.mp4,15.65,2026-07-23T17:48:00.765287
pilot,20260722_204900_1,12,NelliSport2_frame00589,NelliSport2_frame00589_same_file_size_256x_3dgs_10s.mp4,NelliSport2_frame00589_same_file_size_256x_pointcloud_10s.mp4,A,NelliSport2_frame00589_same_file_size_256x_3dgs_10s.mp4,30.14,2026-07-23T17:57:49.004469
pilot,20260722_204900_1,13,NelliSport2_frame00589,NelliSport2_frame00589_same_file_size_32x_pointcloud_10s.mp4,NelliSport2_frame00589_same_file_size_32x_3dgs_10s.mp4,B,NelliSport2_frame00589_same_file_size_32x_3dgs_10s.mp4,15.61,2026-07-23T17:58:05.640087
pilot,20260722_204900_1,14,Sign_take2_frame00503,Sign_take2_frame00503_same_file_size_4x_pointcloud_10s.mp4,Sign_take2_frame00503_same_file_size_4x_3dgs_10s.mp4,B,Sign_take2_frame00503_same_file_size_4x_3dgs_10s.mp4,625.97,2026-07-23T18:08:33.046989
pilot,20260722_204900_1,15,OverallBall_take1_frame00492,OverallBall_take1_frame00492_same_NoP_32x_3dgs_10s.mp4,OverallBall_take1_frame00492_same_NoP_32x_pointcloud_10s.mp4,A,OverallBall_take1_frame00492_same_NoP_32x_3dgs_10s.mp4,211.67,2026-07-23T18:12:06.212261
pilot,20260722_204900_1,16,TicTacToe_take2_frame00586,TicTacToe_take2_frame00586_same_NoP_original_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_NoP_original_3dgs_10s.mp4,A,TicTacToe_take2_frame00586_same_NoP_original_pointcloud_10s.mp4,15.33,2026-07-23T18:12:23.682983
pilot,20260722_204900_1,17,NelliSport2_frame00589,NelliSport2_frame00589_same_NoP_32x_3dgs_10s.mp4,NelliSport2_frame00589_same_NoP_32x_pointcloud_10s.mp4,A,NelliSport2_frame00589_same_NoP_32x_3dgs_10s.mp4,978.6,2026-07-23T18:28:44.058737
pilot,20260722_204900_1,18,OverallBall_take1_frame00492,OverallBall_take1_frame00492_same_file_size_256x_3dgs_10s.mp4,OverallBall_take1_frame00492_same_file_size_256x_pointcloud_10s.mp4,A,OverallBall_take1_frame00492_same_file_size_256x_3dgs_10s.mp4,146.13,2026-07-23T18:31:13.151793
pilot,20260722_204900_1,19,OverallBall_take1_frame00492,OverallBall_take1_frame00492_same_NoP_original_3dgs_10s.mp4,OverallBall_take1_frame00492_same_NoP_original_pointcloud_10s.mp4,B,OverallBall_take1_frame00492_same_NoP_original_pointcloud_10s.mp4,250.01,2026-07-23T18:35:29.915349
pilot,20260722_204900_1,20,BouncingBlue_frame00518,BouncingBlue_frame00518_same_NoP_32x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_NoP_32x_3dgs_10s.mp4,B,BouncingBlue_frame00518_same_NoP_32x_3dgs_10s.mp4,15.12,2026-07-23T18:35:46.305193
pilot,20260722_204900_1,21,OverallBall_take1_frame00492,OverallBall_take1_frame00492_same_file_size_32x_3dgs_10s.mp4,OverallBall_take1_frame00492_same_file_size_32x_pointcloud_10s.mp4,A,OverallBall_take1_frame00492_same_file_size_32x_3dgs_10s.mp4,92.38,2026-07-23T18:37:19.810518
pilot,20260722_204900_1,22,TicTacToe_take2_frame00586,TicTacToe_take2_frame00586_same_file_size_4x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_file_size_4x_3dgs_10s.mp4,B,TicTacToe_take2_frame00586_same_file_size_4x_3dgs_10s.mp4,102.99,2026-07-23T18:39:04.055245
pilot,20260722_204900_1,23,TicTacToe_take2_frame00586,TicTacToe_take2_frame00586_same_file_size_256x_3dgs_10s.mp4,TicTacToe_take2_frame00586_same_file_size_256x_pointcloud_10s.mp4,A,TicTacToe_take2_frame00586_same_file_size_256x_3dgs_10s.mp4,1248.37,2026-07-23T18:59:54.642617
pilot,20260722_204900_1,24,TicTacToe_take2_frame00586,TicTacToe_take2_frame00586_same_file_size_32x_3dgs_10s.mp4,TicTacToe_take2_frame00586_same_file_size_32x_pointcloud_10s.mp4,A,TicTacToe_take2_frame00586_same_file_size_32x_3dgs_10s.mp4,462.11,2026-07-23T19:07:38.464876
pilot,20260722_204900_1,25,Sign_take2_frame00503,Sign_take2_frame00503_same_NoP_256x_3dgs_10s.mp4,Sign_take2_frame00503_same_NoP_256x_pointcloud_10s.mp4,A,Sign_take2_frame00503_same_NoP_256x_3dgs_10s.mp4,17.06,2026-07-23T19:07:56.974982
pilot,20260722_204900_1,26,TicTacToe_take2_frame00586,TicTacToe_take2_frame00586_same_NoP_4x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_NoP_4x_3dgs_10s.mp4,A,TicTacToe_take2_frame00586_same_NoP_4x_pointcloud_10s.mp4,266.26,2026-07-23T19:12:24.874868
pilot,20260722_204900_1,27,Sign_take2_frame00503,Sign_take2_frame00503_same_NoP_32x_3dgs_10s.mp4,Sign_take2_frame00503_same_NoP_32x_pointcloud_10s.mp4,A,Sign_take2_frame00503_same_NoP_32x_3dgs_10s.mp4,19.12,2026-07-23T19:12:45.722721
pilot,20260722_204900_1,28,BouncingBlue_frame00518,BouncingBlue_frame00518_same_file_size_256x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_file_size_256x_3dgs_10s.mp4,B,BouncingBlue_frame00518_same_file_size_256x_3dgs_10s.mp4,68.56,2026-07-23T19:13:55.974061
pilot,20260722_204900_1,29,NelliSport2_frame00589,NelliSport2_frame00589_same_file_size_4x_pointcloud_10s.mp4,NelliSport2_frame00589_same_file_size_4x_3dgs_10s.mp4,B,NelliSport2_frame00589_same_file_size_4x_3dgs_10s.mp4,205.95,2026-07-23T19:17:23.301679
pilot,20260722_204900_1,30,OverallBall_take1_frame00492,OverallBall_take1_frame00492_same_NoP_4x_pointcloud_10s.mp4,OverallBall_take1_frame00492_same_NoP_4x_3dgs_10s.mp4,A,OverallBall_take1_frame00492_same_NoP_4x_pointcloud_10s.mp4,62.61,2026-07-23T19:18:27.171554
pilot,20260722_204900_1,31,NelliSport2_frame00589,NelliSport2_frame00589_same_NoP_256x_pointcloud_10s.mp4,NelliSport2_frame00589_same_NoP_256x_3dgs_10s.mp4,B,NelliSport2_frame00589_same_NoP_256x_3dgs_10s.mp4,881.37,2026-07-23T19:33:10.259782
pilot,20260722_204900_1,32,BouncingBlue_frame00518,BouncingBlue_frame00518_same_file_size_32x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_file_size_32x_3dgs_10s.mp4,B,BouncingBlue_frame00518_same_file_size_32x_3dgs_10s.mp4,80.65,2026-07-23T19:34:32.470444
pilot,20260722_204900_1,33,TicTacToe_take2_frame00586,TicTacToe_take2_frame00586_same_NoP_256x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_NoP_256x_3dgs_10s.mp4,B,TicTacToe_take2_frame00586_same_NoP_256x_3dgs_10s.mp4,59.76,2026-07-23T19:35:36.718113
pilot,20260722_204900_1,34,NelliSport2_frame00589,NelliSport2_frame00589_same_NoP_4x_3dgs_10s.mp4,NelliSport2_frame00589_same_NoP_4x_pointcloud_10s.mp4,B,NelliSport2_frame00589_same_NoP_4x_pointcloud_10s.mp4,96.45,2026-07-23T19:37:14.266218
pilot,20260722_204900_1,35,Sign_take2_frame00503,Sign_take2_frame00503_same_file_size_256x_pointcloud_10s.mp4,Sign_take2_frame00503_same_file_size_256x_3dgs_10s.mp4,B,Sign_take2_frame00503_same_file_size_256x_3dgs_10s.mp4,16.19,2026-07-23T19:37:31.897343
